Record Length,Analog:14000
Sample Interval,CH:0.0001999999949
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.420000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,200000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-1.378200E+00,-2.480000E-01,+3.740000E-02
-1.378000E+00,-2.480000E-01,+3.780000E-02
-1.377800E+00,-2.480000E-01,+3.780000E-02
-1.377600E+00,-2.400000E-01,+3.740000E-02
-1.377400E+00,-2.400000E-01,+3.740000E-02
-1.377200E+00,-2.400000E-01,+3.780000E-02
-1.377000E+00,-2.320000E-01,+3.820000E-02
-1.376800E+00,-2.400000E-01,+3.820000E-02
-1.376600E+00,-2.400000E-01,+3.780000E-02
-1.376400E+00,-2.400000E-01,+3.820000E-02
-1.376200E+00,-2.400000E-01,+3.860000E-02
-1.376000E+00,-2.400000E-01,+3.820000E-02
-1.375800E+00,-2.320000E-01,+3.820000E-02
-1.375600E+00,-2.320000E-01,+3.860000E-02
-1.375400E+00,-2.320000E-01,+3.860000E-02
-1.375200E+00,-2.320000E-01,+3.860000E-02
-1.375000E+00,-2.320000E-01,+3.900000E-02
-1.374800E+00,-2.320000E-01,+3.900000E-02
-1.374600E+00,-2.320000E-01,+3.860000E-02
-1.374400E+00,-2.240000E-01,+3.860000E-02
-1.374200E+00,-2.240000E-01,+3.900000E-02
-1.374000E+00,-2.240000E-01,+3.940000E-02
-1.373800E+00,-2.240000E-01,+3.980000E-02
-1.373600E+00,-2.240000E-01,+3.980000E-02
-1.373400E+00,-2.240000E-01,+3.980000E-02
-1.373200E+00,-2.240000E-01,+4.020000E-02
-1.373000E+00,-2.240000E-01,+4.020000E-02
-1.372800E+00,-2.160000E-01,+4.020000E-02
-1.372600E+00,-2.240000E-01,+4.060000E-02
-1.372400E+00,-2.240000E-01,+4.060000E-02
-1.372200E+00,-2.160000E-01,+4.060000E-02
-1.372000E+00,-2.160000E-01,+4.020000E-02
-1.371800E+00,-2.160000E-01,+4.020000E-02
-1.371600E+00,-2.160000E-01,+4.060000E-02
-1.371400E+00,-2.160000E-01,+4.100000E-02
-1.371200E+00,-2.160000E-01,+4.100000E-02
-1.371000E+00,-2.080000E-01,+4.100000E-02
-1.370800E+00,-2.080000E-01,+4.100000E-02
-1.370600E+00,-2.080000E-01,+4.100000E-02
-1.370400E+00,-2.080000E-01,+4.100000E-02
-1.370200E+00,-2.080000E-01,+4.140000E-02
-1.370000E+00,-2.080000E-01,+4.100000E-02
-1.369800E+00,-2.080000E-01,+4.100000E-02
-1.369600E+00,-2.080000E-01,+4.140000E-02
-1.369400E+00,-2.080000E-01,+4.140000E-02
-1.369200E+00,-2.000000E-01,+4.180000E-02
-1.369000E+00,-2.000000E-01,+4.140000E-02
-1.368800E+00,-2.000000E-01,+4.220000E-02
-1.368600E+00,-2.000000E-01,+4.260000E-02
-1.368400E+00,-2.000000E-01,+4.220000E-02
-1.368200E+00,-2.000000E-01,+4.220000E-02
-1.368000E+00,-2.000000E-01,+4.220000E-02
-1.367800E+00,-1.920000E-01,+4.220000E-02
-1.367600E+00,-1.920000E-01,+4.220000E-02
-1.367400E+00,-1.920000E-01,+4.260000E-02
-1.367200E+00,-1.920000E-01,+4.220000E-02
-1.367000E+00,-1.920000E-01,+4.260000E-02
-1.366800E+00,-1.920000E-01,+4.260000E-02
-1.366600E+00,-1.920000E-01,+4.260000E-02
-1.366400E+00,-1.840000E-01,+4.300000E-02
-1.366200E+00,-1.920000E-01,+4.300000E-02
-1.366000E+00,-1.920000E-01,+4.300000E-02
-1.365800E+00,-1.840000E-01,+4.340000E-02
-1.365600E+00,-1.840000E-01,+4.340000E-02
-1.365400E+00,-1.840000E-01,+4.340000E-02
-1.365200E+00,-1.840000E-01,+4.340000E-02
-1.365000E+00,-1.840000E-01,+4.380000E-02
-1.364800E+00,-1.840000E-01,+4.340000E-02
-1.364600E+00,-1.840000E-01,+4.300000E-02
-1.364400E+00,-1.760000E-01,+4.340000E-02
-1.364200E+00,-1.760000E-01,+4.380000E-02
-1.364000E+00,-1.760000E-01,+4.420000E-02
-1.363800E+00,-1.760000E-01,+4.420000E-02
-1.363600E+00,-1.760000E-01,+4.420000E-02
-1.363400E+00,-1.680000E-01,+4.420000E-02
-1.363200E+00,-1.680000E-01,+4.460000E-02
-1.363000E+00,-1.760000E-01,+4.460000E-02
-1.362800E+00,-1.680000E-01,+4.460000E-02
-1.362600E+00,-1.680000E-01,+4.460000E-02
-1.362400E+00,-1.680000E-01,+4.500000E-02
-1.362200E+00,-1.680000E-01,+4.500000E-02
-1.362000E+00,-1.680000E-01,+4.500000E-02
-1.361800E+00,-1.680000E-01,+4.500000E-02
-1.361600E+00,-1.600000E-01,+4.500000E-02
-1.361400E+00,-1.600000E-01,+4.500000E-02
-1.361200E+00,-1.600000E-01,+4.500000E-02
-1.361000E+00,-1.600000E-01,+4.500000E-02
-1.360800E+00,-1.600000E-01,+4.500000E-02
-1.360600E+00,-1.600000E-01,+4.500000E-02
-1.360400E+00,-1.600000E-01,+4.500000E-02
-1.360200E+00,-1.520000E-01,+4.540000E-02
-1.360000E+00,-1.520000E-01,+4.540000E-02
-1.359800E+00,-1.520000E-01,+4.540000E-02
-1.359600E+00,-1.520000E-01,+4.540000E-02
-1.359400E+00,-1.520000E-01,+4.580000E-02
-1.359200E+00,-1.520000E-01,+4.540000E-02
-1.359000E+00,-1.440000E-01,+4.580000E-02
